lambda ion Z num_e gl gu fosc P
257.385 FeXIV 26 13 2 2 0.293 9.39
257.43 ClXII 17 6 1 3 0.0848 6.61
257.976 CaV 20 16 5 5 0.0386 7.34
258.251 CaV 20 16 5 3 0.0129 6.86
259.181 CrVII 24 18 1 3 0.0028 5.54
259.276 AlVII 13 7 4 4 4.78e-07 2.57
259.296 TiXX 22 3 2 4 0.0509 6.05
259.309 AlVII 13 7 4 6 4.65e-08 1.56
259.52 "S X" 16 7 4 4 0.0534 8.41
262.662 "O III" 8 6 1 3 0.0109 9.39
263.22 "P X" 15 6 1 3 0.0771 6.88
263.246 TiVI 22 17 4 2 0.381 6.93
263.39 MnXXI 25 5 2 2 0.00063 4.75
263.692 "O III" 8 6 1 3 0.104 10.37
263.76 FeXXIII 26 4 1 3 0.0015 7.11
264.078 CrVI 24 19 4 6 0.04 6.7
264.24 "S X" 16 7 4 6 0.0786 8.59
264.257 "O III" 8 6 1 3 0.0736 10.22
264.78 ClXIII 17 5 2 4 0.067 6.52
264.822 "N III" 7 5 2 4 0.00655 8.29
264.846 "N III" 7 5 2 2 0.0131 8.59
265.31 "V XI" 23 13 2 4 0.57 6.2
265.74 CoXVI 27 12 1 3 0.796 7.24
266.805 "N III" 7 5 2 4 0.00284 7.93
266.847 "N III" 7 5 2 2 0.00568 8.23
266.896 NaIII 11 9 4 2 0.0203 7.04
266.896 MnXXIII 25 3 2 2 0.0185 6.22
266.967 "O III" 8 6 1 3 0.118 10.43
267.05 NeIII 10 8 5 3 0.0102 8.53
267.07 NeIII 10 8 5 5 0.0306 9.0
267.401 TiVIII 22 15 4 2 0.327 6.87
267.427 NaV 11 7 4 2 6.87e-06 3.57
267.645 NaIII 11 9 4 4 0.101 7.74
268.178 TiVIII 22 15 4 4 0.653 7.17
268.25 ScVIII 21 14 1 3 0.0031 3.01
268.288 NaV 11 7 4 4 2.67e-05 4.17
268.347 "N III" 7 5 2 4 0.00597 8.25
269.072 "N III" 7 5 2 2 0.000544 7.22
269.533 TiVIII 22 15 4 6 0.98 7.35
270.073 "N III" 7 5 2 4 0.00782 8.37
270.305 CaV 20 16 5 7 0.074 7.64
270.324 "C III" 6 4 1 3 0.00772 8.88
270.494 CaV 20 16 5 5 0.0132 6.89
270.57 CaV 20 16 5 3 0.000879 5.72
271.077 "N III" 7 5 2 2 0.000634 7.29
271.995 SiX 14 5 2 2 0.0349 8.53
272.09 MnXIII 25 13 2 4 0.15 7.14
272.523 "N III" 7 5 2 4 0.011 8.53
272.641 SiVII 14 8 5 3 0.0356 8.54
273.695 CaIII 20 18 1 3 0.419 8.4
273.977 "N III" 7 5 2 2 0.00081 7.4
274.051 "C III" 6 4 1 3 0.0113 9.05
274.203 FeXIV 26 13 2 2 0.0578 8.71
274.411 TiIX 22 14 1 3 0.9 7.32
274.461 CaIII 20 18 1 3 0.0506 7.48
275.281 "O III" 8 6 1 3 0.0139 9.51
275.352 SiVII 14 8 5 5 0.106 9.02
276.145 MgVII 12 6 1 3 0.112 9.07
276.193 "N III" 7 5 2 4 0.0165 8.71
276.364 FeXI 26 16 5 3 0.0014 7.1
277.232 FeVI 26 21 4 6 0.00061 6.74
277.42 MnXIII 25 13 2 2 0.16 7.18
277.8 MnXXII 25 4 1 3 0.0013 5.09
277.947 FeVI 26 21 4 4 0.00852 7.88
278.244 FeVI 26 21 4 2 0.0213 8.28
278.26 "P XII" 15 4 1 3 0.251 7.41
278.436 "N III" 7 5 2 2 0.00115 7.56
278.694 AlV 13 9 4 2 0.0839 7.85
279.631 "O IV" 8 5 2 2 0.0314 9.87
279.733 CrXXII 24 3 2 2 0.0193 6.41
279.817 ScXIX 21 3 2 4 0.0523 4.26
280.043 "C III" 6 4 1 3 0.0164 9.22
280.114 AlIX 13 5 2 4 0.0628 7.73
280.141 TiIX 22 14 1 3 0.39 6.97
280.143 CrVI 24 19 4 6 0.01 6.13
280.234 "O III" 8 6 1 3 0.0111 9.42
280.992 ScV 21 17 4 4 0.073 4.4
281.4 "S XI" 16 6 1 3 0.0633 8.52
282.07 "N III" 7 5 2 4 0.0271 8.93
282.215 TiVI 22 17 4 6 0.001 4.38
282.407 AlIX 13 5 2 2 0.124 8.02
283.13 NeIII 10 8 5 3 0.000735 7.41
283.146 NeIII 10 8 5 5 0.011 8.58
283.167 NeIII 10 8 5 7 0.0618 9.33
283.26 "P IX" 15 7 4 2 0.0348 6.56
283.8 CrXX 24 5 2 2 0.0005 4.83
283.913 ScV 21 17 4 6 1.8 5.8
284.147 FeXV 26 12 1 3 0.824 9.88
284.978 CaV 20 16 5 3 0.0658 7.61
285.1 NaV 11 7 4 2 9.55e-06 3.75
285.37 "P IX" 15 7 4 4 0.0686 6.86
285.47 NaVI 11 6 1 3 3.04e-07 2.25
285.855 "N III" 7 5 2 2 0.00191 7.79
286.094 "S V" 16 12 1 3 0.0984 8.72
287.44 "V VI" 23 18 1 3 0.0021 3.8
288.423 "C III" 6 4 1 3 0.00325 8.53
288.45 "S XII" 16 5 2 4 0.0589 8.5
289.165 NiXVI 28 13 2 4 0.079 7.61
289.49 "P IX" 15 7 4 6 0.101 7.04
289.579 TiX 22 13 2 4 0.629 7.19
289.851 ScIV 21 18 1 3 3.92 6.15
290.467 FeVI 26 21 4 6 0.00185 7.24
290.63 SiIX 14 6 1 3 0.0795 8.91
290.965 NaIV 11 8 5 3 0.000166 4.99
291.02 FeVI 26 21 4 2 0.0646 8.78
291.3261 "C III" 6 4 1 3 0.0451 9.68
291.365 FeVI 26 21 4 4 0.0258 8.39
291.985 NiXVIII 28 11 2 4 0.253 8.12
292.15 ArVI 18 13 2 2 0.0827 7.94
292.447 "N III" 7 5 2 4 0.0484 9.2
292.672 MgVI 12 7 4 4 1.88e-07 3.32
292.701 MgVI 12 7 4 6 1.07e-08 2.08
293.15 CrXXI 24 4 1 3 0.001 5.15
293.742 "V XXI" 23 3 2 2 0.0202 4.79
293.82 FeVI 26 21 4 6 0.0282 8.43
294.516 FeVI 26 21 4 4 0.112 9.03
294.77 CrXII 24 13 2 4 0.157 7.35
294.95 MnXIII 25 13 2 2 0.19 7.28
295.169 NeII 10 9 4 2 0.00771 8.45
295.321 NiXII 28 17 4 2 0.0337 7.25
295.634 FeVI 26 21 4 6 0.02 8.28
296.164 ScV 21 17 4 2 0.41 5.17
296.311 ScIV 21 18 1 3 0.34 5.09
296.554 CaIV 20 17 4 2 0.00159 6.01
296.958 CaIII 20 18 1 3 1.17 8.88
298.15 NiXV 28 14 1 3 0.074 7.59
298.557 ScVII 21 15 4 6 1.1 5.61
299.037 ScIV 21 18 1 3 0.08 4.47
299.661 "N III" 7 5 2 2 0.00545 8.26
300.08 CrXII 24 13 2 2 0.189 7.43
300.153 NaII 11 10 1 3 0.122 7.87
300.517 SiIV 14 11 2 4 0.00207 7.34
300.531 SiIV 14 11 2 2 0.00104 7.04
300.56 AlIX 13 5 2 2 0.0377 7.53
301.436 NaII 11 10 1 3 0.2 8.09
301.741 CaIII 20 18 1 3 0.137 7.96
301.913 TiVI 22 17 4 6 0.00038 3.99
302.215 CaXVIII 20 3 2 4 0.0538 7.55
302.263 NiXIV 28 15 4 4 0.03 7.21
303.31 NiXIII 28 16 5 5 0.04 7.33
303.318 SiXI 14 4 1 3 0.265 9.46
303.32 FeXIII 26 14 1 3 0.0649 8.8
303.411 "O III" 8 6 1 3 0.16 10.62
303.7822 HeII 2 1 2 6 0.416 13.09
304.85 MnXIV 25 12 1 3 0.863 7.95
305.596 "O III" 8 6 1 3 0.47 11.09
305.761 "N III" 7 5 2 2 0.00679 8.37
307.249 AlVI 13 8 5 3 0.0376 7.54
307.842 MnVI 25 20 5 7 0.0023 5.38
308.853 MnVI 25 20 5 5 0.011 6.06
309.104 TiXX 22 3 2 2 0.0212 5.75
309.2 "P X" 15 6 1 3 0.089 7.01
309.597 AlVI 13 8 5 5 0.112 8.02
309.937 "V XX" 23 4 1 3 0.00083 3.43
310.1697 "C III" 6 4 1 3 0.0284 9.5
310.182 MnVI 25 20 5 5 0.0404 6.63
310.234 SiIV 14 11 2 4 0.00325 7.55
310.257 SiIV 14 11 2 2 0.00163 7.25
310.69 CoXV 27 13 2 4 0.078 6.29
311.55 "N III" 7 5 2 4 0.0159 8.74
311.806 MgVIII 12 5 2 4 0.0686 8.91
311.921 NaVI 11 6 1 3 0.124 7.9
312.422 "C IV" 6 3 2 4 0.135 10.19
312.453 "C IV" 6 3 2 2 0.0678 9.89
312.542 CoXVII 27 11 2 4 0.261 6.82
313.059 NeIII 10 8 5 3 0.0546 9.32
313.539 NeII 10 9 4 4 0.00137 7.72
313.743 MgVIII 12 5 2 2 0.137 9.21
314.31 SiVIII 14 7 4 2 0.0299 8.52
314.715 "N III" 7 5 2 4 0.194 9.84
315.219 "F III" 9 7 4 6 0.0676 5.81
315.536 "F III" 9 7 4 4 0.045 5.63
315.65 "P XI" 15 5 2 4 0.0731 6.93
315.747 "F III" 9 7 4 2 0.0224 5.33
316.202 SiVIII 14 7 4 4 0.0594 8.82
316.53 NiXIV 28 15 4 6 0.046 7.41
318.094 CaIV 20 17 4 6 1.42 8.99
318.385 CaIV 20 17 4 4 0.158 8.04
318.452 NeII 10 9 4 2 0.000502 7.29
318.615 ScIX 21 13 2 4 0.67 5.42
318.825 NeII 10 9 4 4 0.00251 7.99
318.85 CoXI 27 17 4 2 0.0343 5.95
318.89 CrXII 24 13 2 2 0.17 7.41
319.829 SiVIII 14 7 4 6 0.0882 9.0
320.558 NiXVIII 28 11 2 2 0.114 7.81
320.626 "V XI" 23 13 2 4 0.164 5.74
320.9943 MgIV 12 9 4 2 0.0871 9.03
321.609 CaV 20 16 5 3 0.000117 4.92
322.5741 "C III" 6 4 1 3 0.0452 9.72
322.757 CaV 20 16 5 5 0.00175 6.09
323.365 TiV 22 18 1 3 0.0019 4.72
323.436 "N III" 7 5 2 4 0.0173 8.8
323.493 "N III" 7 5 2 2 0.0348 9.1
323.52 AlVIII 13 6 1 3 0.0852 7.92
324.477 CaV 20 16 5 7 0.00973 6.84
324.568 NeII 10 9 4 4 0.0005 7.3
324.57 NeII 10 9 4 6 0.0045 8.25
325.7 CoXIII 27 15 4 4 0.033 5.94
325.945 "V XI" 23 13 2 2 0.22 5.88
326.028 ScXIX 21 3 2 2 0.0222 3.95
326.17 CoXII 27 16 5 5 0.036 5.98
326.517 NeII 10 9 4 4 0.00394 8.2
326.542 NeII 10 9 4 6 0.0354 9.15
326.777 "K XVII" 19 3 2 4 0.0558 6.39
326.787 NeII 10 9 4 2 0.0238 8.98
