lambda ion Z num_e gl gu fosc P
419.065 "O II" 8 7 4 2 0.00244 8.94
419.645 "F IV" 9 6 1 3 0.158 6.3
422.013 "F II" 9 8 5 3 0.0106 5.13
422.785 "V XIII" 23 11 2 4 0.305 6.13
422.85 ScX 21 12 1 3 1.05 5.74
423.487 TiIV 22 19 4 6 0.198 6.85
423.817 SiIII 14 12 1 3 0.00181 7.43
424.01 ArXV 18 4 1 3 0.000218 5.53
426.402 "N II" 7 6 1 3 0.00172 7.92
426.644 SiIII 14 12 1 3 0.000415 6.8
426.822 "N II" 7 6 1 3 0.00511 8.39
427.551 CrX 24 15 4 6 0.048 6.99
427.979 "N II" 7 6 1 3 0.000651 7.5
428.094 CaVIII 20 13 2 4 0.194 8.26
428.692 "N II" 7 6 1 3 0.00672 8.51
429.134 MgVII 12 6 1 3 0.0801 9.12
429.232 "V XI" 23 13 2 4 0.074 5.52
429.5 "N II" 7 6 1 3 0.0125 8.78
429.918 "O II" 8 7 4 2 0.0618 10.35
430.041 "O II" 8 7 4 4 0.124 10.66
430.177 "O II" 8 7 4 6 0.186 10.83
430.467 MgVIII 12 5 2 4 0.0763 9.1
430.914 "F II" 9 8 5 7 0.0817 6.03
430.915 "F II" 9 8 5 5 0.0146 5.28
430.917 "F II" 9 8 5 3 0.000974 4.1
431.259 "N II" 7 6 1 3 0.000509 7.39
431.455 "N II" 7 6 1 3 0.00853 8.62
432.632 "F II" 9 8 5 3 0.00886 5.06
432.869 CaVIII 20 13 2 2 0.382 8.56
433.042 TiIV 22 19 4 4 0.0015 4.74
433.176 NeVI 10 5 2 2 0.0505 9.43
433.567 TiIX 22 14 1 3 0.0583 6.33
433.635 TiIV 22 19 4 2 0.00775 5.46
434.559 CaIV 20 17 4 6 0.00609 6.76
434.671 "N II" 7 6 1 3 0.00562 8.44
435.309 "N II" 7 6 1 3 0.0107 8.72
435.636 CrV 24 20 5 5 0.008 6.22
435.636 "F II" 9 8 5 5 0.0264 5.54
436.1072 "N II" 7 6 1 3 0.0382 9.27
437.255 SiIII 14 12 1 3 0.00483 7.87
437.655 CrV 24 20 5 5 0.0373 6.89
437.752 CaIV 20 17 4 4 0.000672 5.81
438.773 "C II" 6 5 2 4 0.00128 8.31
438.824 "C II" 6 5 2 2 0.00257 8.61
439.603 "N II" 7 6 1 3 0.00067 7.52
439.691 CaIII 20 18 1 3 0.00165 6.2
441.599 "N II" 7 6 1 3 0.0136 8.83
442.052 "N II" 7 6 1 3 0.0461 9.36
443.429 "V XIII" 23 11 2 2 0.145 5.83
445.0397 NeII 10 9 4 2 0.0195 9.03
445.77 "S XIV" 16 3 2 2 0.0299 8.39
445.997 ArV 18 14 1 3 1.4 9.36
446.2556 NeII 10 9 4 4 0.0974 9.73
447.4 MnXIV 25 12 1 3 0.0024 5.56
448.2921 "N II" 7 6 1 3 0.00257 8.11
448.9396 "N II" 7 6 1 3 0.00158 7.9
450.564 CaIV 20 17 4 2 0.000146 5.16
451.2 ArIV 18 15 4 2 0.521 8.93
451.869 "N III" 7 5 2 2 0.0316 9.2
451.87 ArIV 18 15 4 4 1.04 9.23
452.132 "V IX" 23 15 4 2 0.017 4.91
452.522 "V X" 23 14 1 3 0.061 5.46
452.639 "N II" 7 6 1 3 0.0222 9.05
452.91 ArIV 18 15 4 6 1.56 9.41
453.237 "N II" 7 6 1 3 0.0625 9.5
454.558 CaIV 20 17 4 4 0.000726 5.86
454.84 ClXIV 17 4 1 3 0.000157 4.12
455.444 FeIII 26 24 9 7 3.73e-05 5.74
455.639 FeIII 26 24 9 9 0.00056 6.92
455.67 "P XIII" 15 3 2 4 0.068 7.06
455.756 FeIII 26 24 "9 1" 1 0.0041 7.78
456.284 "V VII" 23 17 4 2 0.0358 5.23
457.01 "V IX" 23 15 4 4 0.033 5.2
457.48 ArVI 18 13 2 4 0.942 9.19
457.818 SiIV 14 11 2 4 0.0236 8.58
458.12 ArV 18 14 1 3 0.579 8.98
458.155 SiIV 14 11 2 2 0.0118 8.28
459.799 "V VIII" 23 16 5 5 0.04 5.28
459.897 NaV 11 7 4 2 0.0364 7.53
460.7284 NeII 10 9 4 2 0.0857 9.69
460.741 TiXII 22 11 2 4 0.32 7.1
461.051 NaV 11 7 4 4 0.0727 7.84
461.711 CaVIII 20 13 2 2 0.0766 7.89
463.263 NaV 11 7 4 6 0.109 8.01
464.367 "F V" 9 5 2 4 0.0963 6.13
464.974 ArII 18 17 4 2 0.00972 7.22
465.221 NeVII 10 4 1 3 0.389 10.35
465.374 "F V" 9 5 2 2 0.192 6.43
465.8365 ArII 18 17 4 6 0.0101 7.23
466.129 SiIII 14 12 1 3 0.0141 8.37
466.24 CaIX 20 12 1 3 1.09 9.05
466.352 "C II" 6 5 2 4 0.00297 8.7
466.407 "C II" 6 5 2 2 0.00592 9.0
466.53 ArIII 18 16 5 3 0.0891 8.18
466.7373 "N II" 7 6 1 3 0.00364 8.28
467.143 "V IX" 23 15 4 6 0.049 5.38
467.399 ArIII 18 16 5 5 0.267 8.66
469.6301 ArII 18 17 4 6 0.0193 7.52
469.633 ArII 18 17 4 4 0.00214 6.56
471.574 TiX 22 13 2 4 0.074 6.47
471.921 "F II" 9 8 5 3 0.000697 4.0
471.952 "F II" 9 8 5 5 0.0104 5.17
471.999 "F II" 9 8 5 7 0.0586 5.92
473.028 ArIII 18 16 5 3 0.018 7.49
473.922 ArIII 18 16 5 5 0.269 8.67
474.4909 "N II" 7 6 1 3 0.0436 9.37
475.153 "O III" 8 6 1 3 1.5e-06 5.78
475.6481 "N II" 7 6 1 3 0.119 9.8
475.9054 ArII 18 17 4 6 0.106 8.26
476.351 "S III" 16 14 1 3 0.027 8.38
476.436 ArIII 18 16 5 7 1.5 9.41
477.105 ArII 18 17 4 4 0.0531 7.96
477.524 ArII 18 17 4 4 0.0117 7.31
479.006 ArII 18 17 4 2 0.00147 6.41
479.881 TiXII 22 11 2 2 0.152 6.79
480.193 ArII 18 17 4 4 0.00733 7.11
480.41 NeV 10 6 1 3 0.11 9.81
480.42 "P XIII" 15 3 2 2 0.0321 6.76
480.533 "S III" 16 14 1 3 0.0179 8.2
481.321 ScVIII 21 14 1 3 0.059 4.54
481.854 ArIII 18 16 5 3 0.226 8.6
482.2 CrXIII 24 12 1 3 0.0019 5.64
482.455 FeIII 26 24 "9 1" 1 0.0323 8.7
482.467 FeIII 26 24 9 9 0.0044 7.84
482.479 FeIII 26 24 9 7 0.000293 6.66
482.552 ArIII 18 16 5 5 0.675 9.07
484.172 "S III" 16 14 1 3 0.0578 8.72
486.068 FeIII 26 24 9 7 0.00114 7.25
486.211 FeIII 26 24 9 9 0.00571 7.95
486.74 NaVII 11 5 2 4 0.0829 7.92
486.8839 AlIII 13 11 2 4 0.00178 6.42
486.9124 AlIII 13 11 2 2 0.00089 6.12
487.068 ArXIV 18 5 2 4 3.72e-06 3.82
487.2272 ArII 18 17 4 2 0.0932 8.22
487.278 ArII 18 17 4 4 0.0953 8.23
487.341 FeIII 26 24 "9 1" 1 2.91e-05 5.66
487.585 FeIII 26 24 9 9 3.97e-06 4.8
487.799 FeIII 26 24 9 7 2.64e-07 3.62
488.108 NeIII 10 8 5 3 0.0438 9.42
488.451 ArIII 18 16 5 3 0.258 8.66
488.7926 ArII 18 17 4 6 0.18 8.5
488.962 ArII 18 17 4 2 0.019 7.53
489.1953 ArII 18 17 4 4 0.02 7.55
489.505 NeIII 10 8 5 5 0.131 9.9
489.58 NaVI 11 6 1 3 0.086 7.93
490.549 CaIII 20 18 1 3 0.000173 5.27
491.44 "S XIII" 16 4 1 3 0.000111 6.01
494.559 FeIII 26 24 9 7 0.00609 7.99
497.0 FeIII 26 24 9 9 0.000783 7.1
497.101 FeIII 26 24 9 7 0.000157 6.4
498.446 ArII 18 17 4 2 0.00583 7.02
499.4 SiXII 14 3 2 4 0.0719 9.11
499.479 TiIX 22 14 1 3 0.058 6.39
499.9192 ArII 18 17 4 4 0.0291 7.72
500.045 ArII 18 17 4 4 0.000325 5.77
500.116 TiVIII 22 15 4 2 0.017 5.86
500.8016 ArII 18 17 4 6 0.00292 6.73
501.1897 ArII 18 17 4 4 0.00248 6.65
501.3872 ArII 18 17 4 2 0.000495 5.95
501.851 FeIII 26 24 9 7 0.000107 6.24
501.976 FeIII 26 24 9 9 0.00161 7.42
502.16 FeIII 26 24 "9 1" 1 0.0117 8.28
502.841 "S XII" 16 5 2 4 1.88e-06 4.25
504.801 TiVIII 22 15 4 4 0.033 6.15
505.108 ScXI 21 11 2 4 0.337 5.32
506.159 "F V" 9 5 2 2 0.0574 5.94
506.2 HeI 2 2 1 3 0.00119 10.77
506.5702 HeI 2 2 1 3 0.0015 10.87
507.0576 HeI 2 2 1 3 0.00188 10.97
507.391 "O III" 8 6 1 3 0.185 10.9
507.7178 HeI 2 2 1 3 0.00259 11.11
508.388 ArXIV 18 5 2 2 9.02e-05 5.22
508.439 ArIII 18 16 5 7 0.158 8.46
508.575 TiVI 22 17 4 2 0.0355 6.19
508.607 ArIII 18 16 5 5 0.0282 7.72
508.6431 HeI 2 2 1 3 0.00369 11.26
508.668 ArIII 18 16 5 3 0.00188 6.54
508.669 "N II" 7 6 1 3 0.0105 8.78
509.9979 HeI 2 2 1 3 0.00553 11.44
510.5509 ArII 18 17 4 4 0.000956 6.25
510.5564 ArII 18 17 4 6 0.0086 7.2
511.1384 AlIII 13 11 2 4 0.00296 6.66
511.1907 AlIII 13 11 2 2 0.00148 6.36
512.0982 HeI 2 2 1 3 0.00883 11.65
514.206 TiVIII 22 15 4 6 0.049 6.33
515.278 "S XII" 16 5 2 2 4.48e-05 5.63
515.6165 HeI 2 2 1 3 0.0154 11.89
518.244 "B III" 5 3 2 4 0.102 4.6
518.271 "B III" 5 3 2 2 0.0511 4.3
518.9088 ArII 18 17 4 4 0.0383 7.86
519.3269 ArII 18 17 4 6 0.345 8.81
519.382 "K VIII" 19 12 1 3 1.14 7.9
520.67 SiXII 14 3 2 2 0.0345 8.8
521.894 ScIX 21 13 2 4 0.073 4.67
522.094 ArV 18 14 1 3 0.305 8.76
522.2128 HeI 2 2 1 3 0.0307 12.19
522.4 "V XII" 23 12 1 3 0.0014 3.88
522.777 ScXI 21 11 2 2 0.161 5.02
524.6803 ArII 18 17 4 4 0.131 8.4
525.689 FeIV 26 23 6 8 0.183 9.49
526.293 FeIV 26 23 6 6 0.138 9.37
526.4969 ArII 18 17 4 2 0.026 7.7
526.634 FeIV 26 23 6 4 0.0914 9.19
529.3572 "N II" 7 6 1 3 0.103 9.79
529.896 ArIII 18 16 5 7 0.0266 7.71
530.274 "C II" 6 5 2 4 0.0362 9.84
530.455 ArIII 18 16 5 3 0.000902 6.24
532.09 "P XII" 15 4 1 3 0.000756 5.17
532.41 ArIII 18 16 5 5 0.00473 6.96
533.5099 "N II" 7 6 1 3 0.299 10.25
534.268 ArIII 18 16 5 3 0.000314 5.78
535.207 "F VI" 9 4 1 3 0.443 6.85
537.0296 HeI 2 2 1 3 0.0752 12.6
538.406 "C II" 6 5 2 2 0.000605 8.07
539.0855 "O II" 8 7 4 6 0.0652 10.48
539.396 CaVII 20 14 1 3 0.0665 7.89
539.5489 "O II" 8 7 4 4 0.0435 10.3
539.8544 "O II" 8 7 4 2 0.0217 10.0
541.127 NeIV 10 7 4 2 0.039 9.41
541.182 FeIII 26 24 "9 1" 1 0.0568 9.0
541.186 FeIII 26 24 9 9 0.00775 8.13
541.188 FeIII 26 24 9 7 0.000517 6.96
542.073 NeIV 10 7 4 4 0.0779 9.72
543.2032 ArII 18 17 4 2 0.13 8.41
543.257 "C II" 6 5 2 4 0.0349 9.84
543.7305 ArII 18 17 4 2 0.00811 7.2
543.891 NeIV 10 7 4 6 0.116 9.89
544.73 ArVI 18 13 2 4 0.218 8.63
546.1768 ArII 18 17 4 4 0.0404 7.9
546.852 "F II" 9 8 5 3 0.0555 5.96
547.541 "B II" 5 4 1 3 0.0242 4.0
548.91 ArVI 18 13 2 2 0.433 8.94
549.3195 "C II" 6 5 2 4 0.00607 9.08
549.3785 "C II" 6 5 2 2 0.0121 9.38
550.03 AlXI 13 3 2 4 0.0773 8.11
551.17 "S IV" 16 13 2 2 0.0869 8.95
551.68 "C II" 6 5 2 2 0.00112 8.35
553.33 "O IV" 8 5 2 4 0.112 10.72
553.465 ArIII 18 16 5 3 0.122 8.39
554.075 "O IV" 8 5 2 2 0.224 11.02
555.672 ScVIII 21 14 1 3 0.055 4.58
555.7659 ArII 18 17 4 4 1.74e-06 3.55
556.8169 ArII 18 17 4 6 1.57e-05 4.5
557.763 CaX 20 11 2 4 0.343 8.62
558.044 ScVII 21 15 4 2 0.016 4.04
558.59 NeVI 10 5 2 4 0.0907 9.79
558.755 "S II" 16 15 4 2 0.00624 7.81
558.924 "S II" 16 15 4 4 0.0125 8.11
559.131 "S II" 16 15 4 6 0.0187 8.29
560.2394 "C II" 6 5 2 4 0.0571 10.07
560.3173 AlIII 13 11 2 4 0.00535 6.96
560.4331 AlIII 13 11 2 2 0.00267 6.66
562.504 ScVII 21 15 4 4 0.032 4.35
566.613 SiIII 14 12 1 3 0.0155 8.49
568.15 AlXI 13 3 2 2 0.0375 7.81
568.42 NeV 10 6 1 3 0.0928 9.81
569.3 TiXI 22 12 1 3 0.0013 4.8
570.64 "F IV" 9 6 1 3 0.122 6.32
571.156 "S II" 16 15 4 2 0.012 8.11
571.249 ScVII 21 15 4 6 0.048 4.53
571.364 "S II" 16 15 4 4 0.0241 8.41
571.779 "S II" 16 15 4 6 0.036 8.58
572.0136 ArII 18 17 4 2 0.0515 8.03
573.355 ScV 21 17 4 2 0.0346 4.39
573.3619 ArII 18 17 4 4 0.257 8.73
574.01 CaX 20 11 2 2 0.166 8.32
574.397 "S II" 16 15 4 6 0.00368 7.6
576.057 "S II" 16 15 4 4 0.00244 7.42
576.8748 "C II" 6 5 2 2 0.00234 8.69
576.978 "S II" 16 15 4 2 0.00122 7.12
578.6043 ArII 18 17 4 4 0.055 8.06
580.2631 ArII 18 17 4 6 0.493 9.02
580.85 SiXI 14 4 1 3 4.99e-05 6.01
582.845 CaVIII 20 13 2 4 0.0725 7.97
584.334 HeI 2 2 1 3 0.285 13.21
585.75 ArVII 18 12 1 3 1.24 9.42
586.195 "B II" 5 4 1 3 0.0514 4.36
588.84 "F I" 9 9 4 2 0.197 6.54
588.92 ArVI 18 13 2 2 0.0873 8.27
593.507 "S II" 16 15 4 2 0.0276 8.48
593.835 "S II" 16 15 4 4 0.0552 8.79
594.072 FeIII 26 24 9 7 0.0109 8.32
594.475 "S II" 16 15 4 6 0.0828 8.96
594.8 "C II" 6 5 2 4 0.117 10.4
597.7 ArII 18 17 4 2 0.0686 8.17
600.661 "S II" 16 15 4 6 0.00768 7.93
602.446 "S II" 16 15 4 4 0.00511 7.76
603.43 "S II" 16 15 4 2 0.00255 7.46
605.67 "F II" 9 8 5 3 0.0441 5.91
606.804 "F II" 9 8 5 5 0.132 6.38
607.903 SiX 14 5 2 4 8.53e-07 4.26
607.931 "K II" 19 18 1 3 0.000216 4.25
608.398 "O IV" 8 5 2 2 0.067 10.54
609.79 MgX 12 3 2 4 0.0842 9.29
615.6283 NeI 10 10 1 3 0.00648 8.69
617.055 SiX 14 5 2 2 2.02e-05 5.65
618.6716 NeI 10 10 1 3 0.016 9.09
619.1023 NeI 10 10 1 3 0.00569 8.64
621.452 "K IX" 19 11 2 4 0.362 7.48
624.385 CaVII 20 14 1 3 0.0503 7.84
624.95 MgX 12 3 2 2 0.041 8.99
626.8232 NeI 10 10 1 3 0.0131 9.0
627.0693 ScIII 21 19 4 6 0.07 4.73
629.602 CaVI 20 15 4 2 0.016 7.34
629.73 "O V" 8 4 1 3 0.515 11.44
629.7388 NeI 10 10 1 3 0.00856 8.82
633.844 CaVI 20 15 4 4 0.0318 7.64
635.9945 "C II" 6 5 2 2 0.00614 9.15
636.325 "K IX" 19 11 2 2 0.177 7.18
636.824 ArIII 18 16 5 3 2.67e-05 4.79
637.256 ArIII 18 16 5 5 0.0004 5.97
637.288 ArIII 18 16 5 7 0.00225 6.72
637.917 CaV 20 16 5 3 0.0139 7.29
637.99 AlX 13 4 1 3 3.17e-05 4.79
640.412 "S II" 16 15 4 2 0.0868 9.01
640.902 "S II" 16 15 4 4 0.174 9.32
641.767 "S II" 16 15 4 6 0.26 9.49
641.904 CaVI 20 15 4 6 0.0471 7.82
644.6337 "N II" 7 6 1 3 0.224 10.21
646.534 CaV 20 16 5 5 0.041 7.76
654.029 "F V" 9 5 2 4 0.0999 6.3
656.001 CaIV 20 17 4 2 0.0295 7.63
656.121 "F III" 9 7 4 2 0.0418 5.92
656.329 "F III" 9 7 4 6 0.126 6.4
656.869 "F III" 9 7 4 4 0.0835 6.22
657.34 "S IV" 16 13 2 4 1.18 10.16
658.398 "K VII" 19 13 2 4 0.44 7.59
661.8689 ArII 18 17 4 6 0.0793 8.28
662.267 "S II" 16 15 4 6 0.0277 8.53
664.315 "S II" 16 15 4 4 0.0184 8.36
664.5622 ArII 18 17 4 4 0.00877 7.33
665.519 "S II" 16 15 4 2 0.00917 8.06
671.1 "F I" 9 9 4 2 0.00315 4.81
671.358 ClVI 17 12 1 3 1.28 8.2
671.4102 "N II" 7 6 1 3 0.0766 9.76
671.8513 ArII 18 17 4 6 0.0781 8.28
672.8562 ArII 18 17 4 4 0.00866 7.33
675.607 AlIX 13 5 2 4 5.46e-07 3.05
676.119 "F IV" 9 6 1 3 0.1 6.31
677.746 "S III" 16 14 1 3 1.64 10.32
679.024 AlII 13 12 1 3 0.000856 6.24
680.698 "F I" 9 9 4 2 0.0195 5.6
681.47 "S III" 16 14 1 3 0.0683 8.94
681.72 NaIX 11 3 2 4 0.0924 8.11
682.923 "V IV" 23 20 5 5 0.0482 5.54
683.48 AlIX 13 5 2 2 1.3e-05 4.43
683.529 AlII 13 12 1 3 0.000945 6.29
684.996 "N III" 7 5 2 4 0.135 10.02
685.513 "N III" 7 5 2 2 0.268 10.31
686.4883 ArII 18 17 4 4 0.000374 5.97
687.0526 "C II" 6 5 2 4 0.336 10.92
689.936 AlII 13 12 1 3 0.000995 6.32
691.0373 ArII 18 17 4 2 7.42e-05 5.27
693.947 "B II" 5 4 1 3 0.0993 4.72
694.27 NaIX 11 3 2 2 0.0454 7.81
695.8289 AlIII 13 11 2 4 0.00926 7.29
696.217 AlIII 13 11 2 2 0.00462 6.99
698.731 "S III" 16 14 1 3 0.783 10.01
699.489 AlII 13 12 1 3 0.00105 6.35
700.245 ArVIII 18 11 2 4 0.385 8.99
702.332 "O III" 8 6 1 3 0.137 10.91
705.364 ArV 18 14 1 3 0.0613 8.2
705.72 MgIX 12 4 1 3 1.93e-05 5.71
710.526 "K VI" 19 14 1 3 0.47 7.65
713.812 ArVIII 18 11 2 2 0.188 8.69
714.695 AlII 13 12 1 3 0.0011 6.38
718.0898 ArII 18 17 4 2 0.0364 7.98
720.44 "K V" 19 15 4 2 0.16 7.19
723.3605 ArII 18 17 4 4 0.181 8.68
724.289 "S III" 16 14 1 3 0.352 9.68
724.441 "K V" 19 15 4 4 0.32 7.5
725.71 BeII 4 3 2 6 0.00506 1.98
727.47 "F I" 9 9 4 4 0.000315 3.84
727.53 "F I" 9 9 4 6 0.00283 4.79
727.682 FeIII 26 24 9 7 0.00775 8.26
728.812 FeIII 26 24 9 9 0.0387 8.96
730.5997 ScIII 21 19 4 6 0.14 5.1
731.869 "K V" 19 15 4 6 0.48 7.68
732.129 "F I" 9 9 4 4 0.00107 4.37
733.03 "F I" 9 9 4 2 0.000214 3.68
734.296 FeIII 26 24 "9 1" 1 0.0132 8.5
734.478 "F I" 9 9 4 2 0.000549 4.09
734.679 "F I" 9 9 4 4 0.000527 4.07
734.795 "F I" 9 9 4 6 0.00474 5.02
735.247 FeIII 26 24 9 7 0.00012 6.46
735.344 FeIII 26 24 9 9 0.0018 7.63
735.469 "F I" 9 9 4 4 0.00275 4.79
735.8962 NeI 10 10 1 3 0.149 10.13
737.146 "K IV" 19 16 5 3 0.18 7.25
737.4537 ArII 18 17 4 2 0.00015 5.6
737.669 "O I" 8 8 5 3 0.000282 8.25
737.683 "O I" 8 8 5 5 0.000848 8.73
739.071 "O I" 8 8 5 3 0.000363 8.36
739.085 "O I" 8 8 5 5 0.00109 8.84
740.2691 ArII 18 17 4 4 0.0025 6.83
741.031 "O I" 8 8 5 3 0.000493 8.49
741.055 "O I" 8 8 5 5 0.00148 8.97
741.182 AlII 13 12 1 3 0.00109 6.39
743.58 BeII 4 3 2 6 0.00821 2.21
743.7195 NeI 10 10 1 3 0.0121 9.04
743.901 "O I" 8 8 5 3 0.000709 8.65
743.929 "O I" 8 8 5 5 0.00213 9.13
744.907 "S IV" 16 13 2 4 0.251 9.54
745.258 "K IV" 19 16 5 5 0.53 7.73
745.767 "F I" 9 9 4 4 0.00191 4.63
746.768 "F I" 9 9 4 2 0.000382 3.94
748.338 "F I" 9 9 4 4 0.000965 4.34
748.355 "O I" 8 8 5 3 0.00111 8.85
748.37 ZnI 30 30 1 3 0.00151 4.7
748.38 "O I" 8 8 5 5 0.00333 9.33
748.4 "S IV" 16 13 2 2 0.5 9.84
748.58 "F I" 9 9 4 6 0.00869 5.29
750.61 "F I" 9 9 4 2 0.00115 4.42
751.861 "F I" 9 9 4 4 0.00576 5.12
753.713 SiII 14 13 2 4 0.000914 7.39
754.191 SiII 14 13 2 2 0.00183 7.69
754.93 ArVI 18 13 2 4 0.0668 8.26
755.765 "O I" 8 8 5 3 0.00199 9.11
755.79 "O I" 8 8 5 5 0.00597 9.58
758.938 MgVIII 12 5 2 4 3.34e-07 3.98
763.34 "N III" 7 5 2 2 0.082 9.85
763.657 "S II" 16 15 4 2 0.398 9.75
764.42 "S II" 16 15 4 4 0.795 10.05
765.148 "N IV" 7 4 1 3 0.616 10.72
765.51 ZnI 30 30 1 3 0.002 4.83
765.644 "K III" 19 17 4 2 0.22 7.36
765.693 "S II" 16 15 4 6 1.19 10.23
765.708 MgVIII 12 5 2 2 7.96e-06 5.36
769.3528 "O I" 8 8 5 3 0.00477 9.49
769.4083 "O I" 8 8 5 5 0.0143 9.97
770.409 NeVIII 10 3 2 4 0.103 9.99
775.362 BeII 4 3 2 4 0.00992 2.31
775.365 BeII 4 3 2 2 0.00496 2.0
776.762 TiIV 22 19 4 4 0.013 5.93
776.926 "F I" 9 9 4 4 0.00354 4.92
778.088 "F I" 9 9 4 2 0.000707 4.22
779.538 ScIII 21 19 4 4 0.0013 3.1
779.91 "F I" 9 9 4 4 0.00195 4.66
780.324 NeVIII 10 3 2 2 0.0505 9.69
780.39 "F I" 9 9 4 6 0.0176 5.62
780.5966 ScIII 21 19 4 2 0.0063 3.78
781.73 TiIV 22 19 4 2 0.065 6.64
786.48 "S V" 16 12 1 3 1.42 10.32
787.711 "O IV" 8 5 2 4 0.111 10.87
789.6 NaVIII 11 4 1 3 1.1e-05 4.25
790.006 "F I" 9 9 4 2 0.00316 4.88
791.5136 "O I" 8 8 5 3 0.0155 10.02
791.875 "F I" 9 9 4 4 0.0157 5.57
791.9732 "O I" 8 8 5 5 0.0464 10.5
792.0 ZnI 30 30 1 3 0.00161 4.76
794.07 ZnI 30 30 1 3 0.0051 5.26
794.475 AlII 13 12 1 3 0.000565 6.13
800.641 ClVII 17 11 2 4 0.418 7.79
803.234 SiII 14 13 2 4 0.00462 8.12
804.654 SiII 14 13 2 2 0.001 7.46
806.97 "F I" 9 9 4 6 0.0434 6.02
806.97 "F I" 9 9 4 4 0.00483 5.07
808.078 FeIII 26 24 9 7 0.00228 7.78
809.668 "S IV" 16 13 2 2 0.104 9.2
809.91 ZnI 30 30 1 3 0.00767 5.44
810.665 "O I" 8 8 5 3 0.000738 8.71
811.0512 "O I" 8 8 5 5 0.00221 9.18
812.96 ClVII 17 11 2 2 0.209 7.5
813.379 FeIII 26 24 9 9 0.0694 9.26
814.137 FeIII 26 24 9 7 0.0138 8.56
818.59 SiII 14 13 2 4 0.00818 8.38
820.921 SiII 14 13 2 2 0.0016 7.67
822.16 ArV 18 14 1 3 0.0433 8.11
823.256 FeIII 26 24 "9 1" 1 0.0161 8.63
824.799 FeIII 26 24 9 9 0.00219 7.77
826.387 FeIII 26 24 9 7 0.000145 6.59
829.6 GaII 31 30 1 3 0.00681 3.88
832.7572 "O II" 8 7 4 2 0.0444 10.5
832.927 "O III" 8 6 1 3 0.107 10.88
833.3294 "O II" 8 7 4 4 0.0886 10.8
834.4655 "O II" 8 7 4 6 0.132 10.97
840.03 ArIV 18 15 4 2 0.013 7.6
842.025 BeII 4 3 2 4 0.0208 2.66
842.031 BeII 4 3 2 2 0.0104 2.36
843.7192 SiII 14 13 2 4 0.0168 8.7
843.77 ArIV 18 15 4 4 0.0259 7.9
844.288 FeIII 26 24 9 7 0.0684 9.27
848.07 SiII 14 13 2 2 0.00279 7.92
850.6 ArIV 18 15 4 6 0.0385 8.08
850.907 FeIII 26 24 9 9 0.000609 7.22
854.2 FeIII 26 24 9 7 0.000121 6.52
858.0918 "C II" 6 5 2 2 0.013 9.61
858.551 FeIII 26 24 9 7 0.00105 7.46
858.609 FeIII 26 24 9 9 0.0157 8.64
859.723 FeIII 26 24 "9 1" 1 0.115 9.51
860.15 "N I" 7 7 4 6 0.00119 8.06
861.15 "N I" 7 7 "4 1" 2 0.000776 7.87
862.14 "N I" 7 7 4 6 0.00162 8.2
862.402 "N I" 7 7 4 6 0.000535 7.71
862.985 "N I" 7 7 4 4 0.000357 7.54
863.336 "N I" 7 7 4 2 0.000178 7.24
865.225 "N I" 7 7 4 6 0.000768 7.87
865.406 "N I" 7 7 4 6 0.0023 8.35
865.835 "N I" 7 7 4 4 0.000511 7.7
866.18 "N I" 7 7 4 2 0.000256 7.4
866.8 ArI 18 18 1 3 0.106 8.52
869.218 NaVII 11 5 2 4 1.94e-07 2.54
869.404 "N I" 7 7 4 6 0.00116 8.05
869.424 "N I" 7 7 4 4 0.00226 8.34
869.482 "N I" 7 7 4 6 0.0034 8.52
869.7542 ArI 18 18 1 3 0.0119 7.57
870.029 "N I" 7 7 4 4 0.000771 7.88
870.332 MgII 12 11 2 4 0.000211 6.84
870.346 MgII 12 11 2 2 0.000105 6.54
870.367 "N I" 7 7 4 2 0.000386 7.58
871.105 ArIII 18 16 5 3 0.00969 7.49
874.791 NaVII 11 5 2 2 4.62e-06 3.92
875.277 "N I" 7 7 4 2 0.00178 8.24
875.656 "N I" 7 7 4 4 0.00355 8.54
875.721 "N I" 7 7 4 6 0.00533 8.72
876.0577 ArI 18 18 1 3 0.093 8.47
876.331 "N I" 7 7 4 6 0.00187 8.26
876.645 "N I" 7 7 4 4 0.00125 8.09
876.987 "N I" 7 7 4 2 0.000622 7.79
877.7983 "O I" 8 8 5 3 0.0197 10.17
877.8787 "O I" 8 8 5 5 0.0589 10.64
878.729 ArIII 18 16 5 5 0.0288 7.96
879.9466 ArI 18 18 1 3 0.0268 7.93
883.11 "F VII" 9 3 2 4 0.115 6.49
883.125 ClV 17 13 2 4 0.53 7.94
884.6967 MgII 12 11 2 4 0.0003 7.0
884.7189 MgII 12 11 2 2 0.00015 6.7
885.973 "N I" 7 7 4 2 0.003 8.47
886.226 "N I" 7 7 4 4 0.00599 8.77
886.332 "N I" 7 7 4 6 0.00899 8.95
887.457 "N I" 7 7 4 6 0.00328 8.51
888.022 "N I" 7 7 4 4 0.00219 8.34
888.372 "N I" 7 7 4 2 0.0011 8.04
889.7228 SiII 14 13 2 4 0.0434 9.14
890.786 "F VII" 9 3 2 2 0.0573 6.19
895.18 NeVII 10 4 1 3 5.89e-06 5.81
899.4063 SiII 14 13 2 2 0.0057 8.26
903.6235 "C II" 6 5 2 4 0.168 10.74
